,summary
722,"Iron irradiation elevated the ratio of rankl / opg in both the marrow and skeletal tissue by day 3. After gamma irradiation, the ratio was elevated in the marrow at 4 h and then again at day 7. These findings suggest an nfe2l2 - mediated increase in expression of antioxidant enzymes may dampen bone resorption responses to radiation."
723,"When a macrophage cell line ( raw264. 7 ) capable of differentiating into osteoclast - like cells after rankl treatment is exposed to ionizing radiation ( 2 gy gamma), gene expression levels rise for β3 integrin, an adhesion receptor that is important for osteoc last differentiation. In other in vitro work, irradiation with 2 or 4 gy increases rankl in differentiated, mc3t3 - e1 osteoblast -like cells ( yang and others 2013 )."
724,"We found that 2 gy gamma irradiation elevated circulating levels of osteoclast - specific tracp 5b protein, indicative of increased bone resorption. The radiation - induced elevation in serum tracP 5b returned to control levels by day 7 following exposure. We conclude that the observed time course of skeletal gene expression and serum resorptive markers suggest a 2 - stage process."
725,We conclude that the structural deficits arose from a spike in osteoclastogenic cytokine expression that follows exposure to ionizing radiation. limitations of this work include the dose rate used to model space radiation. It is an open question whether lower dose rate exposures that constitute true space radiation stimulate osteoclasts and bone loss to the same extent.
726,"N 6 - threonylcarbamoyl - adenosine ( t6a ) is one of the few rna modifications that is universally present in life. this modification occurs at high frequency at position 37 of most trnas that decode ann codons, and stabilizes cognate anticodon – codon interactions. nearly all genetic studies of the t6A pathway have focused on single - celled organisms."
727,"Electrical impedance myography ( eim) was used to assess the effects of spaceflight and hind limb unloading on muscle fiber atrophy and bone deterioration. In the first experiment, 6 mice were flown aboard the space shuttle ( sts - 135 ) for 13 days and 8 earthbound mice served as controls. in the second experiment, 14 mice underwent hind limbUnloading ( hlu ) for13 days."
728," methods in the first experiment, 6 mice were flown aboard the space shuttle ( sts - 135 ) for 13 days and 8 earthbound mice served as controls. in the second experiment, 14 mice underwent hind limb unloading ( hlu ) for 14 days. eim measurements were made on ex vivo gastrocnemius muscle. quantitative microscopy and areal bone mineral density were also performed."
729," reductions in the multifrequency phase - slope parameter were observed for both the space flight and hlu cohorts compared to their respective controls. for ground control and spaceflight groups, the values were 24. 7±1. 3° / mhz and 14. 1± 1. 6° /mhz, respectively. this parameter also correlated with muscle fiber size ( ρ = 0. 65, p =0. 011 ) for spaceflight and hind limb abmd for both groups."
730,"Plants exhibit rapid, systemic signaling systems that allow them to coordinate physiological and developmental responses throughout the plant body. Wave propagation of these signals is thought to include processes ranging from electrical and hydraulic networks to waves of reactive oxygen species ( ros ) and cytoplasmic ca 2 + traveling through the plant. We conclude that, in the root, plant systemic signaling is supported by a ros - assisted calcium - induced calcium release mechanism."
731,"Little is known about interactions between muscle and bone during the removal and application of mechanical signals. We tested the hypothesis that changes in muscle are associated with changes in bone at the level of the tissue and the genome. during unloading and relative to normally ambulating control mice, most mice lost muscle and cortical bone with large variability across the population. during reambulation, individual mice regained bone and muscle at different rates."
732,"Strong correlations between muscle mass and bone mass have been found in cross - sectional as well as longitudinal studies. If muscle was a causal factor during bone development, then increased muscle mass should precede the majority of bone mineral accrual. However, substantial bone loss can precede equivalently detectable losses in muscle by nearly a decade."
733,"Unloading causes both sarcopenia and osteopenia in humans and animal models. Reambulation recovers, at least in part, these losses. Differences in genetic make - up between individuals, humans or mice have been shown to greatly influence the magnitude of the skeletal response to unloading and reambulation."
734,"Femoral diaphysis of both legs was scanned by in vivo micro - computed tomography ( µct ) at baseline, after the unloading period, and after the reambulation period. mid - diaphyseal cortical bone morphology was evaluated for cortical area, marrow area, and tissue mineral density. muscle and bone data were also obtained from 25 normally ambulating f2 mice."
735,"Genotyping and qtl mapping for this set of mice has been described previously [ 18, 21 ]. briefly, dna was prepared from tail tips and submitted to kbiosciences for single - nucleotide polymorphism ( snp ) genotyping. phenotypes pertaining to longitudinal changes during unloading, and reambulation were included in the qtl analysis performed via the statistical software r / qtl."
736," qtl and possible qtl * qtl interactions identified from a single and pair wise qtl scan were fit into multiple regression models. minimal and maximal changes in any given phenotype during unloading and reambulation were reported as the 5 th ( min ) and 95 th percentile ( max ) of the experimental population. p - values for terms in the multiple regression model were determined. for all tests, statistical significance was set at p = 0. 05."
